id,name,description,category,muscles,muscles_secondary,equipment,images,difficulty,style
975,one-handed kettlebell curls,"Standing with the kettlebell in one hand and bent at the elbow, start from a fully extended position until your hand reaches shoulder height. To perform the movement correctly, try not to push with your back or body.",Arms,[1],[],[10],[],beginner,['mixed']
976,Medicine ball booklet crunch,Using a medicine ball as an overload will make the exercise heavier.,Abs,[6],[],[7],[],beginner,['mixed']
977,Box Squat,"<ol><li><b>Set up the box: </b>Position the box behind you, about 3 feet from a squat rack if you're using a barbell. Choose a height that allows you to squat down and gently tap your glutes on the box with your back straight.</li><li><b>Stand with proper form: </b>Stand with your feet shoulder-width apart, toes pointed slightly outward. Engage your core and keep your back neutral. If using a barbell, rack it at shoulder height.</li><li><b>Lower down: </b>Sit back as if going to sit on a chair, bending your knees and lowering your hips towards the box. Keep your core tight and back straight throughout the movement.</li><li><b>Controlled descent: </b>Descend in a controlled manner until your glutes gently touch the box. Don't plop down.</li><li><b>Pause and press up: </b>Briefly pause at the bottom with your back straight and core engaged. Then, press through your heels to drive yourself back up to the starting position.</li></ol>
Improvements in coordination, balance and endurance, toning of the leg and buttock muscles and an overall increase in bone density eliminating the risk of osteoporosis.",Abs,"[8, 10, 15]",[],[7],[],beginner,['mixed']
978,Knee Raises,The 90° leg raise on the bar is a very intense exercise that involves all the abdominal muscles.,Abs,[6],[14],[6],[],beginner,['mixed']
804,Sloper hanging,<p>Hanging on sloper holds of a fingerboard for a amount of seconds</p>,Arms,[],[],[7],[],beginner,['mixed']
20,Arnold Shoulder Press,"<p>Very common shoulder exercise.</p>
<p> </p>
<p>As shown here: https://www.youtube.com/watch?v=vj2w851ZHRM</p>",Shoulders,[],[],[3],[],beginner,['mixed']
43,Barbell Hack Squats,<p>Perform leg squats with barbell behind your legs</p>,Legs,[],[],[1],[],beginner,['mixed']
801,Dumbbell Push-Up,"<p>Normal Push-ups on Dumbbells, this brings a further range of movement</p>",Chest,[],[],[3],[],beginner,['mixed']
12,Seated Hip Adduction,Starting Position: Sit on the machine with your knees inward and against the pads. Pull the pin to release the pads. Grab the handles on the sides.,Legs,[8],[],[],['https://wger.de/media/exercise-images/12/4a42cc6f-648d-40cc-a72a-c49dd47e1667.webp'],beginner,['mixed']
46,Barbell Lunges Standing,"<p>Put barbell on the back of your shoulders. Stand upright, then take the first step forward. Step should bring you forward so that your supporting legs knee can touch the floor. Then stand back up and repeat with the other leg.</p>
<p>Remember to keep good posture.</p>",Legs,[10],[8],[1],[],beginner,['mixed']
802,Barbell Lunges Walking,,Legs,[],[],[1],[],beginner,['mixed']
41,Barbell Ab Rollout,"<p>Place a barbell on the floor at your feet.</p>
<p>Bending at the waist, grip the barbell with a shoulder with overhand grip.</p>
<p>With a slow controlled motion, roll the bar out so that your back is straight.</p>
<p>Roll back up raising your hips and butt as you return to the starting position.</p>",Abs,[14],[],[1],[],beginner,['mixed']
50,Barbell Triceps Extension,"<p>Position barbell overhead with narrow overhand grip.</p>
<p>Lower forearm behind upper arm with elbows remaining overhead. Extend forearm overhead. Lower and repeat.</p>",Arms,[5],"[2, 4]",[1],"['https://wger.de/media/exercise-images/50/695ced5c-9961-4076-add2-cb250d01089e.png', 'https://wger.de/media/exercise-images/50/44cf2c72-a78a-4d5e-a8b5-a02c6ea61fb4.jpg', 'https://wger.de/media/exercise-images/50/60c68ac5-70c7-4ed6-bfc1-99bed63a472a.jpg', 'https://wger.de/media/exercise-images/50/69b519d8-4861-4bb1-b504-3887aa30e7d8.png']",beginner,['mixed']
48,Barbell Reverse Wrist Curl,"<p>Sitting on a bench, grab a barbell with your palms facing down and your hands shoulder-width apart. Rest your forearms on your thighs and allow your wrists to hang over your knees.</p>
<p>Curl your knuckles towards your face, lifting the barbell. Pause for a moment in the top position, then slowly return the barbell to the starting position.</p>",Arms,[],[],"[1, 8]",[],beginner,['mixed']
983,High knees,"<p>Starting positionStand straight.</p><p>Steps:</p><ol><li>Run in place, putting knees as high up as is comfortable and switching legs at a quick pace.</li></ol>",Cardio,[],[],[7],[],beginner,['mixed']
984,Lunges,"<p>Starting position:</p><p>Stand with back straight.</p><p>Steps:</p><ol><li>Take a large step forward with your left leg.</li><li>Bring your pelvis down until you almost touch the floor with your right knee.</li><li>Bring your pelvis back up.</li><li>Return to the starting position by stepping back.</li><li>Repeat, switching legs each time.</li></ol>",Legs,[],[],[7],['https://wger.de/media/exercise-images/984/5c7ffe68-e7b2-47f3-a22a-f9cc28640432.png'],beginner,['mixed']
821,Pullup on fingerboard,Pullup on a choosen edge of a fingerboard / hangboard ,Arms,[],[],[7],[],beginner,['mixed']
985,Push-up rotations,"<p>Starting position:</p><p>Get into the starting push-up position, with your hands and toes touching the ground and back, arms and legs straight. To get to this position, you can lie down on your stomach, place your hands facing down next to your head, and lifting your arms up until they are straight.</p><p>Steps:</p><ol><li>Perform a standard push-up:</li></ol><p>1.a Bend arms until chest almost touches the ground, making sure the back is straight.1.b Use your arms to lift yourself back up to starting position.</p><ol start=""2""><li>Rotate your body to the side so that the back is straight, the bottom hand supporting the body is fully extended, and only the bottom hand and foot touch the floor.</li><li>Repeat, changing sides at step 2 each time.</li></ol>",Arms,[],[],[7],[],beginner,['mixed']
986,Side split squats left,"<p>Starting position:</p><ol><li>Stand tall and take a wide lateral stride, just greater than shoulder width.</li></ol><p>Steps:</p><ol><li>Bend one knee until your thigh is parallel to the floor. The bent knee must be in line with the foot.</li><li>Push back to the starting position.</li><li>Repeat.</li></ol>",Legs,[],[],[7],[],beginner,['mixed']
987,Side split squats right,"<p>Starting position:</p><ol><li>Stand tall and take a wide lateral stride, just greater than shoulder width.</li></ol><p>Steps:</p><ol><li>Bend one knee until your thigh is parallel to the floor. The bent knee must be in line with the foot.</li><li>Push back to the starting position.</li><li>Repeat.</li></ol>",Legs,[],[],[7],[],beginner,['mixed']
988,Bulgarian split squats left,"<ol><li>Stand tall in front of a chair and take a large step. Put the upper part of one of your feet on the chair.</li><li>Bend the front knee, balancing with arms until the back knee almost touches the ground.</li><li>Push back to the starting position and repeat.</li></ol>",Legs,[],[],[7],['https://wger.de/media/exercise-images/988/6283b258-a4d7-4833-84f7-a38987022d3d.png'],beginner,['mixed']
989,Bulgarian split squats right,"<ol><li>Stand tall in front of a chair and take a large step. Put the upper part of one of your feet on the chair.</li><li>Bend the front knee, balancing with arms until the back knee almost touches the ground.</li><li>Push back to the starting position and repeat.</li></ol>",Legs,[],[],[7],[],beginner,['mixed']
990,Kneeling kickbacks,"<p>Starting position:</p><p>Get down on all fours.</p><p>Steps:</p><ol><li>Push one foot back until fully extended, concentrating on the gluteus muscles.</li><li>Stay for one second, then return to the initial position.</li><li>Repeat, alternating feet.</li></ol>",Legs,[],[],[7],[],beginner,['mixed']
991,Split squats left,<p>Starting position:</p><p>Stand with your back straight. Take a large step forward with your left leg.</p><p>Steps:</p><ol><li>Bring your pelvis down until you almost touch the floor with your right knee.</li><li>Bring your pelvis back up.</li><li>Repeat.</li></ol>,Legs,[],[],[7],[],beginner,['mixed']
909,Reverse Nordic Curl,Natural Leg Extension is alternative to Leg Extension machine with no equipment.&nbsp;&nbsp;,Legs,[10],"[8, 6]",[],[],beginner,['mixed']
912,Straight Bar Cable Curls,Standing upright in front of Cable Tower using a straight bar,Arms,[1],[],[],[],beginner,['mixed']
924,Cable Fly,"cable machine, two steps forward, straight back",Chest,[4],[],[],[],beginner,['mixed']
992,Split squats right,<p>Starting position:</p><p>Stand with your back straight. Take a large step forward with your left leg.</p><p>Steps:</p><ol><li>Bring your pelvis down until you almost touch the floor with your right knee.</li><li>Bring your pelvis back up.</li><li>Repeat.</li></ol>,Legs,[],[],[7],[],beginner,['mixed']
993,Jump rope: basic jumps,"<p>Starting position:</p><p>Put your feet close together, bend the knees a bit, keep your head and body straight, keep elbows in, open your arms.</p><p>Steps:</p><ol><li>Spin only your wrists with enough force to make the rope spin.</li><li>Jump just high enough to pass the rope below your feet.</li><li>Repeat.</li></ol><p>Notes:</p><p>This exercise requires a jump rope. Make sure the rope length is adjusted to your height. One way to check is to grab both handles with one hand and stand on the middle of the rope hanging on the ground with one foot. If the rope (excluding the handles) reaches just below your chest, its length is right. A shorter rope would be hazardous, as you might hit yourself, and a longer rope would make for bad form.</p>",Cardio,[],[],[7],[],beginner,['mixed']
959,TRX Rows,This exercise serves as a lead-up to Pull Ups.,Abs,"[2, 1, 12]",[],[7],['https://wger.de/media/exercise-images/959/53a5e008-bc31-4ee0-9463-69a858c2ec18.png'],beginner,['mixed']
979,Leg raises pull up bar,"with a firm grip with both hands on the bar, raise your outstretched legs, until you reach a 90° angle with your torso.",Abs,[6],"[14, 10]",[6],[],beginner,['mixed']
994,Forward arm circles,"<p>Starting position:</p><p>Stand tall with your back straight.</p><p>Steps:</p><ol><li>Keeping your arms straight, bring them in front of you, move them down, behind your back, then over your head, and back to the initial position.</li><li>Keep circling your arms as described in step 1.</li></ol>",Arms,[],[],[7],[],beginner,['mixed']
995,Backward arm circles,"<p>Starting position:</p><p>Stand tall with your back straight.</p><p>Steps:</p><ol><li>Keeping your arms straight, bring them in front of you, raise them over your head, then continue the motion behind your back and down to the initial position.</li><li>Keep circling your arms as described in step 1.</li></ol>",Arms,[],[],[7],[],beginner,['mixed']
996,Mountain climbers,"<p>Starting position:</p><p>Start in the upright push-up position, aka. the high plank position.Hands should be directly under your shoulders.Keep your head in line with your back, facing the floor.Feet should be about hip-width apart.</p><p>Steps:</p><ol><li>Move one knee toward the center of your body, towards your elbows, keeping the other leg extended.</li><li>In a quick jumping movement, straighten the bent leg out and pull the other knee toward your body.</li><li>Keep repeating step 2, alternating legs.</li></ol><p>Notes:</p><p>Throughout the exercise, your back should remain as straight as possible – avoid a hump or a sagging back.</p>",Chest,[],[],[7],[],beginner,['mixed']
997,4-count burpees,"<p>Starting position:</p><p>Stand straight, feet hip-width apart.</p><p>Steps:</p><ol><li>Squat low and support yourself on the floor with your hands between the knees and in front of your feet, your back straight.</li><li>Keeping your hands on the floor, jump your legs backward into high plank position.</li><li>Jump your feet forward to return to the squat position.</li><li>Repeat.</li></ol>",Chest,[],[],[7],[],beginner,['mixed']
998,No push-up burpees,"<p>Starting position:</p><p>Stand straight, feet hip-width apart.</p><p>Steps:</p><ol><li>Squat low and support yourself on the floor with your hands between the knees and in front of your feet, your back straight.</li><li>Keeping your hands on the floor, jump your legs backward into high plank position.</li><li>Jump your feet forward to return to the squat position.</li><li>Jump up.</li><li>Repeat.</li></ol>",Chest,[],[],[7],[],beginner,['mixed']
999,Reverse lunges,"<p>Starting position:</p><p>Stand straight, feet hip-width apart.</p><p>Steps:</p><ol><li>Step backward with one leg so it can bend comfortably to a 90 degree angle.</li><li>Slowly bend both knees to form 90 degree angles.</li><li>Return to the starting position.</li><li>Repeat, alternating legs.</li></ol>",Legs,[],[],[7],"['https://wger.de/media/exercise-images/999/d0931eb3-8db0-4049-bb08-aa4036072056.jfif', 'https://wger.de/media/exercise-images/999/8548b2d2-004d-48b4-95fd-b1b25f4e53d0.jfif']",beginner,['mixed']
1000,Floor dips,"<p>Starting position:</p><p>Sit with your arms behind you, supporting your back.Your fingers should point forward.Your knees should be bent, feet together.</p><p>Steps:</p><ol><li>Raise your hips off the ground, straightening your arms.</li><li>Bend your elbows, bringing your hips down.</li><li>Straighten your arms, returning to the previous position.</li><li>Repeat steps 2 and 3.</li></ol><p>Notes:</p><p>The exercise's difficulty depends on how high you bring your hips.</p>",Arms,[],[],[7],['https://wger.de/media/exercise-images/1000/553266a8-a972-48c5-a014-b12afac66f65.png'],beginner,['mixed']
1001,High plank,"<p>Starting position:</p><p>Get into the high plank position:your hands and toes should be touching the ground, your back, arms and legs should be straight.To get to this position, you can lie down on your stomach, place your hands facing down next to your head, and lifting your arms up until they are straight.</p><p>Steps:</p><ol><li>Maintain the starting position for the entire duration of the exercise.</li></ol>",Chest,[],[],[7],[],beginner,['mixed']
1002,Child's pose,"<p>Starting position:</p><p>Start on all fours, knees, toes, and hands touching the ground. Your two big toes should be touching.</p><p>Steps:</p><ol><li>Move your knees so that they're about hip-width apart.</li><li>On an exhale, move your pelvis back to sit on your heels. Your hands should still be touching the ground.</li><li>Relax your upper body, lowering your forehead to the floor and letting your hands move forward naturally.</li><li>Stay in this pose.</li></ol><p>Tips:</p><ul><li>To leave the pose, walk your arms back under your shoulders and move your upper body up into a seated position.</li></ul>",Back,[],[],[7],[],beginner,['mixed']
1003,Kettlebell deadlifts,"<p>Starting position:</p><p>Stand hip-width apart, with your kettlebell centered between your ankles. Your back should be straight, your head facing forward.</p><p>Steps:</p><ol><li>Hinge at the hips and slightly bend at the knees to put your hands on the kettlebell handles. Your back should be straight as you perform the movement.</li><li>Grab the kettlebell handles, with your hands pushing in opposite directions as if to pull the handle apart.</li><li>While contacting your abs and glutes, stand straight up.</li><li>Hinge at the hips again to bring the kettlebell back down, similarly to step 1.</li><li>Repeat from step 3.</li></ol><p>Tips:</p><ul><li>Be sure you're performing the movements correctly, as doing otherwise can lead to injury. For example, do not squat instead of hinging at the hips, do not round your back while reaching for the kettlebell, and do not lean back while standing up.</li></ul>",Back,[],[],[10],[],beginner,['mixed']
92,Biceps Curls With Dumbbell,"<p>Hold two barbells, the arms are streched, the hands are on your side, the palms face inwards. Bend the arms and bring the weight with a fast movement up. At the same time, rotate your arms by 90 degrees at the very beginning of the movement. At the highest point, rotate a little the weights further outwards. Without a pause, bring them down, slowly.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>",Arms,[1],[13],[3],"['https://wger.de/media/exercise-images/81/Biceps-curl-1.png', 'https://wger.de/media/exercise-images/81/Biceps-curl-2.png']",beginner,['mixed']
83,Bent Over Rowing,"<ol>
<li>Holding a barbell with a pronated grip (palms facing down), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.</li>
<li>Now, while keeping the torso stationary, breathe out and lift the barbell to you. Keep the elbows close to the body and only use the forearms to hold the weight. At the top contracted position, squeeze the back muscles and hold for a brief pause.</li>
<li>Then inhale and slowly lower the barbell back to the starting position.</li>
<li>Repeat for the recommended amount of repetitions.</li>
</ol>",Back,[12],"[2, 1]",[1],"['https://wger.de/media/exercise-images/109/Barbell-rear-delt-row-1.png', 'https://wger.de/media/exercise-images/109/Barbell-rear-delt-row-2.png']",beginner,['mixed']
112,Body-Ups,"<ol>
<li>Assume a plank position on the ground. You should be supporting your bodyweight on your toes and forearms, keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position.</li>
<li>Pressing your palms firmly into the ground, extend through the elbows to raise your body from the ground. Keep your torso rigid as you perform the movement.</li>
<li>Slowly lower your forearms back to the ground by allowing the elbows to flex.</li>
<li>Repeat as needed.</li>
</ol>",Arms,[],[],[7],[],beginner,['mixed']
81,Bent Over Dumbbell Rows,"<p>With dumbbells in hand, bend at the hip until hands hang just below the knees (similar to straight-legged-deadlift starting position). Keep upper body angle constant while contracting your lats to pull you ellbows back pinching the shoulder blades at the top. Try not to stand up with every rep, check hands go below knees on every rep.</p>",Back,[12],[],"[8, 3]",['https://wger.de/media/exercise-images/81/a751a438-ae2d-4751-8d61-cef0e9292174.png'],beginner,['mixed']
94,Biceps Curls With SZ-bar,"<p>Hold the SZ-bar shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>",Arms,[1],[13],[2],['https://wger.de/media/exercise-images/94/6dee2f60-aea2-4f2d-9bf6-aef50c4f9483.png'],beginner,['mixed']
82,Bent-over Lateral Raises,"<p>Sit on bench while holding weights. Bend forward as far as possible, with arms slightly bent at the elbow. Perform a lateral raise while maintaining the bend in your elbow.</p>",Shoulders,[],[],"[8, 3]",[],beginner,['mixed']
75,Benchpress Dumbbells,"<p>The movement is very similar to benchpressing with a barbell, however, the weight is brought down to the chest at a lower point.</p>
<p>Hold two dumbbells and lay down on a bench. Hold the weights next to the chest, at the height of your nipples and press them up till the arms are stretched. Let the weight slowly and controlled down.</p>",Chest,[4],"[2, 5]","[8, 3]","['https://wger.de/media/exercise-images/97/Dumbbell-bench-press-1.png', 'https://wger.de/media/exercise-images/97/Dumbbell-bench-press-2.png']",beginner,['mixed']
91,Biceps Curls With Barbell,"<p>Hold the Barbell shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>",Arms,[1],[13],[1],"['https://wger.de/media/exercise-images/74/Bicep-curls-1.png', 'https://wger.de/media/exercise-images/74/Bicep-curls-2.png']",beginner,['mixed']
73,Bench Press,"<p>Lay down on a bench, the bar should be directly above your eyes, the knees are somewhat angled and the feet are firmly on the floor. Concentrate, breath deeply and grab the bar more than shoulder wide. Bring it slowly down till it briefly touches your chest at the height of your nipples. Push the bar up.</p>
<p>If you train with a high weight it is advisable to have a <em>spotter</em> that can help you up if you can't lift the weight on your own.</p>
<p>With the width of the grip you can also control which part of the chest is trained more:</p>
<ul>
<li>wide grip: outer chest muscles</li>
<li>narrow grip: inner chest muscles and triceps</li>
</ul>",Chest,[4],"[2, 5]","[1, 8]","['https://wger.de/media/exercise-images/192/Bench-press-1.png', 'https://wger.de/media/exercise-images/192/Bench-press-2.png']",beginner,['mixed']
76,Bench Press Narrow Grip,"<p>Lay down on a bench, the bar is directly over your eyes, the knees form a slight angle and the feet are firmly on the ground. Hold the bar with a narrow grip (around 20cm.). Lead the weight slowly down till the arms are parallel to the floor (elbow: right angle), press then the bar up. When bringing the bar down, don't let it down on your nipples as with the regular bench pressing, but somewhat lower.</p>",Arms,[5],"[2, 4]","[1, 8]","['https://wger.de/media/exercise-images/88/Narrow-grip-bench-press-1.png', 'https://wger.de/media/exercise-images/88/Narrow-grip-bench-press-2.png']",beginner,['mixed']
95,Biceps Curl With Cable,"<p>Stand around 30 - 40cm away from the cable, the feet are firmly on the floor. Take the bar and lift the weight with a fast movements. Lower the weight as with the dumbbell curls slowly and controlled.</p>",Arms,[1],[],[],"['https://wger.de/media/exercise-images/129/Standing-biceps-curl-1.png', 'https://wger.de/media/exercise-images/129/Standing-biceps-curl-2.png']",beginner,['mixed']
803,One Arm Triceps Extensions on Cable,,Arms,[],[],[],[],beginner,['mixed']
71,Single Leg Extension,,Legs,[10],[],[],[],beginner,['mixed']
79,Bent High Pulls,"<p>Bend over slightly while holding two dumbbells.  Pull the dumbbells up to your chest, keeping your elbows as high as you can.</p>",Shoulders,[9],[],[3],[],beginner,['mixed']
1004,Forward shoulder rotation,<p>Starting position:</p><p>Sit or stand with your back straight.</p><p>Steps:</p><ol><li>Place your hands on your shoulders.</li><li>Repeatedly rotate both shoulder joints in a circular motion at a moderate pace.</li></ol>,Back,[],[],[7],[],beginner,['mixed']
1005,Backward shoulder rotation,<p>Starting position:</p><p>Sit or stand with your back straight.</p><p>Steps:</p><ol><li>Place your hands on your shoulders.</li><li>Repeatedly rotate both shoulder joints in a circular motion at a moderate pace.</li></ol>,Back,[],[],[7],[],beginner,['mixed']
1006,Chin tuck,"<p>Starting position:</p><p>Sit or stand with your back straight.</p><p>Steps:</p><ol><li>Use fingers on your chin to slowly tuck your chin in, moving your head back to align it with your spine.</li><li>Hold for 5 seconds.</li><li>Go back to normal head position and repeat.</li></ol>",Back,[],[],[7],[],beginner,['mixed']
1007,Head turns,"<p>Starting position:</p><p>Sit or stand with your back straight and shoulders down.</p><p>Steps:</p><ol><li>Sit or stand up straight, shoulders dropped.</li><li>Turn your head to the side as far as possible. Stop when you hit a barrier and hold for 5 seconds.</li><li>Return to center position and repeat, changing sides.</li></ol>",Shoulders,[],[],[7],[],beginner,['mixed']
1008,Left neck stretch,<p>Starting position:</p><p>Sit or stand with your back straight.</p><p>Steps:</p><ol><li>Tilt your head to the side.</li><li>Take the hand closer to your head and use it to grab your head from the other side.</li><li>Push with your hand against your head and with your head against your hand so that the forces balance out and your head stays still.</li><li>Maintain this tension until the end of the exercise.</li></ol>,Shoulders,[],[],[7],[],beginner,['mixed']
1009,Right neck stretch,<p>Starting position:</p><p>Sit or stand with your back straight.</p><p>Steps:</p><ol><li>Tilt your head to the side.</li><li>Take the hand closer to your head and use it to grab your head from the other side.</li><li>Push with your hand against your head and with your head against your hand so that the forces balance out and your head stays still.</li><li>Maintain this tension until the end of the exercise.</li></ol>,Shoulders,[],[],[7],[],beginner,['mixed']
1010,Back neck stretch,"<p>Starting position:</p><p>Sit upright on a chair or a firm pillow.</p><p>Steps:</p><ol><li>Breathe out and tilt your head forward, chin to chest, putting hands behind your head.</li><li>Use your hands to pull your head down lightly and press against your hands with your head to balance out the force.</li><li>Hold for a bit.</li><li>Relax your arms and head, opening up a bit with your shoulders.</li><li>Keep repeating this from step 2 onward.</li></ol>",Back,[],[],[7],[],beginner,['mixed']
1630,Blaze,"BLAZE is a full-body HIIT workout. Designed to supercharge your cardio fitness and strength.&nbsp;Delivered in its own purpose-built studio, BLAZE is a unique mix of martial arts, intense cardio and strength training.",Cardio,"[2, 8, 4, 10]","[1, 11, 12, 6]","[8, 3, 10, 7]",[],beginner,['mixed']
265,Glute Bridge,"<p>Lie on you back with your hips and knees flexed, feet on the ground. From this position, raise your butt off of the ground to a height where your body makes a straight line from your knees to your shoulders. To make the exercise more intense, you can add weight by letting a barbell rest on your hips as you complete the motion, or you can put your feet on a slightly higher surface such as a step or a bench.</p>",Legs,[8],[11],[],[],beginner,['mixed']
